Plugin,"Plugin Name","Family","Severity","VPR","EPSS","Host Total","Total"
1006055,"[18.10.93.2.2][MS][2016][DC][v4.0.0][L1] Ensure 'Configure Automatic Updates: Scheduled install day' is set to '0 - Every day'","N/A","Medium","","","1","1"
1006056,"[18.10.93.4.1][MS][2016][DC][v4.0.0][L1] Ensure 'Manage preview builds' is set to 'Disabled'","N/A","Medium","","","1","1"
1006061,"[18.1.1.1][MS][2016][DC][v4.0.0][L1] Ensure 'Prevent enabling lock screen camera' is set to 'Enabled'","N/A","Medium","","","1","1"
1006062,"[18.1.1.2][MS][2016][DC][v4.0.0][L1] Ensure 'Prevent enabling lock screen slide show' is set to 'Enabled'","N/A","Medium","","","1","1"
1006063,"[18.1.2.2][MS][2016][DC][v4.0.0][L1] Ensure 'Allow users to enable online speech recognition services' is set to 'Disabled'","N/A","Medium","","","1","1"
1006077,"[18.5.2][MS][2016][DC][v4.0.0][L1] Ensure 'MSS: (DisableIPSourceRouting IPv6) IP source routing protection level' is set to 'Enabled: Highest protection, source routing is completely disabled'","N/A","Medium","","","1","1"
1006078,"[18.5.3][MS][2016][DC][v4.0.0][L1] Ensure 'MSS: (DisableIPSourceRouting) IP source routing protection level' is set to 'Enabled: Highest protection, source routing is completely disabled'","N/A","Medium","","","1","1"
1006082,"[18.6.11.2][MS][2016][DC][v4.0.0][L1] Ensure 'Prohibit installation and configuration of Network Bridge on your DNS domain network' is set to 'Enabled'","N/A","Medium","","","1","1"
1006083,"[18.6.11.3][MS][2016][DC][v4.0.0][L1] Ensure 'Prohibit use of Internet Connection Sharing on your DNS domain network' is set to 'Enabled'","N/A","Medium","","","1","1"
1006089,"[18.6.4.1][MS][2016][DC][v4.0.0][L1] Ensure 'Configure multicast DNS (mDNS) protocol' is set to 'Disabled'","N/A","Medium","","","1","1"
1006091,"[18.7.1][MS][2016][DC][v4.0.0][L1] Ensure 'Allow Print Spooler to accept client connections' is set to 'Disabled'","N/A","Medium","","","1","1"
1006095,"[18.7.10][MS][2016][DC][v4.0.0][L1] Ensure 'Manage processing of Queue-specific files' is set to 'Enabled: Limit Queue-specific files to Color profiles'","N/A","Medium","","","1","1"
1006097,"[18.7.11][MS][2016][DC][v4.0.0][L1] Ensure 'Point and Print Restrictions: When installing drivers for a new connection' is set to 'Enabled: Show warning and elevation prompt'","N/A","Medium","","","1","1"
1006098,"[18.7.12][MS][2016][DC][v4.0.0][L1] Ensure 'Point and Print Restrictions: When updating drivers for an existing connection' is set to 'Enabled: Show warning and elevation prompt'","N/A","Medium","","","1","1"
1006099,"[18.7.2][MS][2016][DC][v4.0.0][L1] Ensure 'Configure Redirection Guard' is set to 'Enabled: Redirection Guard Enabled'","N/A","Medium","","","1","1"
1006100,"[18.7.3][MS][2016][DC][v4.0.0][L1] Ensure 'Configure RPC connection settings: Protocol to use for outgoing RPC connections' is set to 'Enabled: RPC over TCP'","N/A","Medium","","","1","1"
1006101,"[18.7.4][MS][2016][DC][v4.0.0][L1] Ensure 'Configure RPC connection settings: Use authentication for outgoing RPC connections' is set to 'Enabled: Default'","N/A","Medium","","","1","1"
1006102,"[18.7.5][MS][2016][DC][v4.0.0][L1] Ensure 'Configure RPC listener settings: Protocols to allow for incoming RPC connections' is set to 'Enabled: RPC over TCP'","N/A","Medium","","","1","1"
1006103,"[18.7.6][MS][2016][DC][v4.0.0][L1] Ensure 'Configure RPC listener settings: Authentication protocol to use for incoming RPC connections:' is set to 'Enabled: Negotiate' or higher","N/A","Medium","","","1","1"
1006104,"[18.7.7][MS][2016][DC][v4.0.0][L1] Ensure 'Configure RPC over TCP port' is set to 'Enabled: 0'","N/A","Medium","","","1","1"
1006105,"[18.7.8][MS][2016][DC][v4.0.0][L1] Ensure 'Configure RPC packet level privacy setting for incoming connections' is set to 'Enabled'","N/A","Medium","","","1","1"
1006107,"[18.7.9][MS][2016][DC][v4.0.0][L1] Ensure 'Limits print driver installation to Administrators' is set to 'Enabled'","N/A","Medium","","","1","1"
1006108,"[18.9.13.1][MS][2016][DC][v4.0.0][L1] Ensure 'Boot-Start Driver Initialization Policy' is set to 'Enabled: Good, unknown and bad but critical'","N/A","Medium","","","1","1"
1006113,"[18.9.28.1][MS][2016][DC][v4.0.0][L1] Ensure 'Block user from showing account details on sign-in' is set to 'Enabled'","N/A","Medium","","","1","1"
1006114,"[18.9.28.2][MS][2016][DC][v4.0.0][L1] Ensure 'Do not display network selection UI' is set to 'Enabled'","N/A","Medium","","","1","1"
1006117,"[18.9.3.1][MS][2016][DC][v4.0.0][L1] Ensure 'Include command line in process creation events' is set to 'Enabled'","N/A","Medium","","","1","1"
1006122,"[18.9.35.1][MS][2016][DC][v4.0.0][L1] Ensure 'Configure Offer Remote Assistance' is set to 'Disabled'","N/A","Medium","","","1","1"
1006123,"[18.9.35.2][MS][2016][DC][v4.0.0][L1] Ensure 'Configure Solicited Remote Assistance' is set to 'Disabled'","N/A","Medium","","","1","1"
1006126,"[18.9.4.1][MS][2016][DC][v4.0.0][L1] Ensure 'Encryption Oracle Remediation' is set to 'Enabled: Force Updated Clients'","N/A","Medium","","","1","1"
1006127,"[18.9.4.2][MS][2016][DC][v4.0.0][L1] Ensure 'Remote host allows delegation of non-exportable credentials' is set to 'Enabled'","N/A","Medium","","","1","1"
1006128,"[18.9.51.1.1][MS][2016][DC][v4.0.0][L1] Ensure 'Enable Windows NTP Client' is set to 'Enabled'","N/A","Medium","","","1","1"
1006129,"[18.9.7.2][MS][2016][DC][v4.0.0][L1] Ensure 'Prevent device metadata retrieval from the Internet' is set to 'Enabled'","N/A","Medium","","","1","1"
1006130,"[19.5.1.1][MS][2016][DC][v4.0.0][L1] Ensure 'Turn off toast notifications on the lock screen' is set to 'Enabled'","N/A","Medium","","","1","1"
1006131,"[19.7.26.1][MS][2016][DC][v4.0.0][L1] Ensure 'Prevent users from sharing files within their profile.' is set to 'Enabled'","N/A","Medium","","","1","1"
1006132,"[19.7.44.1][MS][2016][DC][v4.0.0][L1] Ensure 'Always install with elevated privileges' is set to 'Disabled'","N/A","Medium","","","1","1"
1006133,"[19.7.5.1][MS][2016][DC][v4.0.0][L1] Ensure 'Do not preserve zone information in file attachments' is set to 'Disabled'","N/A","Medium","","","1","1"
1006134,"[19.7.5.2][MS][2016][DC][v4.0.0][L1] Ensure 'Notify antivirus programs when opening attachments' is set to 'Enabled'","N/A","Medium","","","1","1"
1006135,"[19.7.8.1][MS][2016][DC][v4.0.0][L1] Ensure 'Configure Windows spotlight on lock screen' is set to 'Disabled'","N/A","Medium","","","1","1"
1006136,"[19.7.8.2][MS][2016][DC][v4.0.0][L1] Ensure 'Do not suggest third-party content in Windows spotlight' is set to 'Enabled'","N/A","Medium","","","1","1"
1006137,"[19.7.8.5][MS][2016][DC][v4.0.0][L1] Ensure 'Turn off Spotlight collection on Desktop' is set to 'Enabled'","N/A","Medium","","","1","1"
1006138,"[2.2.1][MS][2016][DC][v4.0.0][L1] Ensure 'Access Credential Manager as a trusted caller' is set to 'No One'","N/A","Medium","","","1","1"
1006176,"[2.3.10.1][MS][2016][DC][v4.0.0][L1] Ensure 'Network access: Allow anonymous SID/Name translation' is set to 'Disabled'","N/A","Medium","","","1","1"
1006183,"[2.3.10.5][MS][2016][DC][v4.0.0][L1] Ensure 'Network access: Let Everyone permissions apply to anonymous users' is set to 'Disabled'","N/A","Medium","","","1","1"
1006188,"[2.3.1.1][MS][2016][DC][v4.0.0][L1] Ensure 'Accounts: Block Microsoft accounts' is set to 'Users can't add or log on with Microsoft accounts'","N/A","Medium","","","1","1"
1006189,"[2.3.11.1][MS][2016][DC][v4.0.0][L1] Ensure 'Network security: Allow Local System to use computer identity for NTLM' is set to 'Enabled'","N/A","Medium","","","1","1"
1006190,"[2.3.11.10][MS][2016][DC][v4.0.0][L1] Ensure 'Network security: Minimum session security for NTLM SSP based (including secure RPC) servers' is set to 'Require NTLMv2 session security, Require 128-bit encryption'","N/A","Medium","","","1","1"
1006191,"[2.3.11.11][MS][2016][DC][v4.0.0][L1] Ensure 'Network security: Restrict NTLM: Audit Incoming NTLM Traffic' is set to 'Enable auditing for all accounts'","N/A","Medium","","","1","1"
1006193,"[2.3.11.2][MS][2016][DC][v4.0.0][L1] Ensure 'Network security: Allow LocalSystem NULL session fallback' is set to 'Disabled'","N/A","Medium","","","1","1"
1006194,"[2.3.11.3][MS][2016][DC][v4.0.0][L1] Ensure 'Network Security: Allow PKU2U authentication requests to this computer to use online identities' is set to 'Disabled'","N/A","Medium","","","1","1"
1006196,"[2.3.11.4][MS][2016][DC][v4.0.0][L1] Ensure 'Network security: Configure encryption types allowed for Kerberos' is set to 'AES128_HMAC_SHA1, AES256_HMAC_SHA1, Future encryption types'","N/A","Medium","","","1","1"
1006197,"[2.3.11.5][MS][2016][DC][v4.0.0][L1] Ensure 'Network security: Do not store LAN Manager hash value on next password change' is set to 'Enabled'","N/A","Medium","","","1","1"
1006198,"[2.3.11.6][MS][2016][DC][v4.0.0][L1] Ensure 'Network security: Force logoff when logon hours expire' is set to 'Enabled'","N/A","Medium","","","1","1"
1006202,"[2.3.11.7][MS][2016][DC][v4.0.0][L1] Ensure 'Network security: LAN Manager authentication level' is set to 'Send NTLMv2 response only. Refuse LM & NTLM'","N/A","Medium","","","1","1"
1006203,"[2.3.11.8][MS][2016][DC][v4.0.0][L1] Ensure 'Network security: LDAP client signing requirements' is set to 'Negotiate signing' or higher","N/A","Medium","","","1","1"
1006204,"[2.3.11.9][MS][2016][DC][v4.0.0][L1] Ensure 'Network security: Minimum session security for NTLM SSP based (including secure RPC) clients' is set to 'Require NTLMv2 session security, Require 128-bit encryption'","N/A","Medium","","","1","1"
1006206,"[2.3.1.3][MS][2016][DC][v4.0.0][L1] Ensure 'Accounts: Limit local account use of blank passwords to console logon only' is set to 'Enabled'","N/A","Medium","","","1","1"
1006207,"[2.3.1.4][MS][2016][DC][v4.0.0][L1] Configure 'Accounts: Rename administrator account'","N/A","Medium","","","1","1"
1006213,"[2.3.1.5][MS][2016][DC][v4.0.0][L1] Configure 'Accounts: Rename guest account'","N/A","Medium","","","1","1"
1006214,"[2.3.15.1][MS][2016][DC][v4.0.0][L1] Ensure 'System objects: Require case insensitivity for non-Windows subsystems' is set to 'Enabled'","N/A","Medium","","","1","1"
1006215,"[2.3.15.2][MS][2016][DC][v4.0.0][L1] Ensure 'System objects: Strengthen default permissions of internal system objects (e.g. Symbolic Links)' is set to 'Enabled'","N/A","Medium","","","1","1"
1006216,"[2.3.17.1][MS][2016][DC][v4.0.0][L1] Ensure 'User Account Control: Admin Approval Mode for the Built-in Administrator account' is set to 'Enabled'","N/A","Medium","","","1","1"
